Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.112976,-0.839467,-9.640552,-0.023559,-0.008343,-0.012995
0.049829,-0.761655,-9.779416,-0.012648,0.01021,0.003215
0.102951,-0.779013,-9.692177,-0.006549,0.00076,0.002415
0.055964,-0.799364,-9.72809,-0.02433,0.003736,-0.015923
0.151733,-0.706888,-9.757569,0.003185,0.02323,0.03447
0.042347,-0.80939,-9.702652,-0.001612,-0.014201,-0.003569
0.036512,-0.822259,-9.677812,-0.02026,-0.002151,-0.03422
0.064643,-0.759261,-9.721057,-0.001708,0.014495,0.003332
0.021847,-0.819266,-9.713725,-0.004052,0.016048,0.004242
0.087837,-0.827197,-9.632771,-0.018539,0.027046,0.008772
0.02903,-0.805948,-9.677213,-0.03072,0.002433,-0.025181
0.03292,-0.820762,-9.721656,-0.026502,0.015861,-0.003409
0.037858,-0.804302,-9.667337,-0.03051,0.016038,-0.001059
0.088885,-0.756568,-9.690531,-0.033416,0.009031,-0.018027
0.198419,-0.764798,-9.785551,-0.008949,0.02753,0.007901
0.052523,-0.80924,-9.715072,-0.005663,0.018164,0.003374
0.150236,-0.794576,-9.711929,-0.022043,0.018516,0.002443
0.179565,-0.717961,-9.750237,-0.019458,-0.020058,0.011996
0.039654,-0.727089,-9.857676,-0.004523,0.004915,0.0071
0.123002,-0.697311,-9.764452,0.020039,0.021087,0.03179
0.00015,-0.793229,-9.599402,-0.001089,-0.015736,-0.028375
0.116568,-0.789638,-9.672126,-0.012417,-0.012523,0.009284
-0.020051,-0.763451,-9.720908,3.7e-05,0.051922,0.044304
0.009876,-0.818667,-9.572018,-0.007334,0.014719,0.005278
0.080056,-0.78455,-9.70744,-0.032614,-0.017007,-0.024627
0.125546,-0.647332,-9.870246,0.018178,0.034128,0.029065
0.053121,-0.829441,-9.623194,0.009509,0.030327,0.023893
0.011971,-0.774973,-9.643844,-0.016748,-0.018355,-0.055003
0.187197,-0.767791,-9.736021,0.005658,0.045924,0.043529
0.049231,-0.752228,-9.683349,-0.010083,0.04202,0.048332
-0.005836,-0.766593,-9.683049,-0.022158,-0.012016,-0.039812
0.080355,-0.733374,-9.775226,-0.006366,0.031101,0.035426
0.051775,-0.744896,-9.685144,0.005724,0.035345,0.013312
0.146944,-0.785149,-9.651925,-0.021054,-0.007817,-0.002792
0.020351,-0.722899,-9.770887,0.003095,0.010976,-0.00413
0.126893,-0.740108,-9.734375,0.012616,0.034425,0.018272
0.096217,-0.796371,-9.656713,-0.003353,-0.005085,-0.012587
0.178817,-0.812233,-9.708937,-0.019648,-0.00017,-0.015759
0.125546,-0.745046,-9.791537,0.014596,0.031334,0.027909
0.058359,-0.82585,-9.695619,0.005841,0.005657,-0.002687
