Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.146944,0.078709,-9.75308,-0.00672,0.010638,0.003281
0.165948,-0.016011,-9.753379,-0.004048,0.00571,0.00093
0.157868,0.086341,-9.75712,-0.007761,0.012097,0.001542
0.153678,-0.017508,-9.734076,-0.004774,0.006021,0.000692
0.162955,0.082001,-9.765051,-0.004999,0.010674,0.001929
0.167444,-0.009726,-9.739313,-0.006426,0.010385,0.000747
0.145747,0.058359,-9.741109,-0.006928,0.009394,0.002051
0.176722,0.000449,-9.727492,-0.002542,0.01054,0.000316
0.161309,0.073622,-9.758616,-0.004042,0.007068,0.001582
0.172383,0.05791,-9.692925,-0.003647,0.008733,-0.000923
0.150685,-0.056713,-9.828048,-0.006683,0.008625,0.002276
0.131232,0.046238,-9.694721,-0.007118,0.00692,-0.000325
0.172233,0.086341,-9.706094,-0.004434,0.008562,-0.00124
0.162207,0.023942,-9.699809,-0.00587,0.006055,0.001125
0.11582,0.092027,-9.746196,-0.00516,0.009932,0.003258
0.180912,-0.067636,-9.71986,-0.004238,0.006002,0.001962
0.162357,0.112677,-9.739612,-0.007529,0.010244,0.000887
0.131831,-0.057162,-9.718962,-0.007879,0.007151,0.003043
0.149787,0.109684,-9.71163,-0.005749,0.008099,0.001094
0.188094,-0.038756,-9.714024,-0.006361,0.007931,0.002244
0.121057,0.088436,-9.717765,-0.004622,0.008298,0.000757
0.162656,0.005686,-9.725846,-0.007959,0.008341,0.001302
0.166098,0.067786,-9.722853,-0.005617,0.007967,0.000775
0.147243,0.023194,-9.734824,-0.006043,0.00802,0.001006
0.152181,0.054917,-9.709086,-0.005588,0.00702,0.001015
0.17343,0.046837,-9.736021,-0.004935,0.009959,-0.000235
0.151882,0.00838,-9.755923,-0.006067,0.008892,0.001406
0.157119,0.043395,-9.718813,-0.003001,0.007981,-0.000503
0.166696,0.011073,-9.751284,-0.005407,0.006778,0.001401
0.150386,0.062249,-9.738266,-0.006685,0.008547,0.001614
0.162207,0.003591,-9.747842,-0.003267,0.008575,0.003127
0.174627,0.065392,-9.755624,-0.006393,0.008404,0.002197
0.155324,0.023643,-9.754576,-0.005369,0.00921,0.002095
0.151583,0.042647,-9.742755,-0.005663,0.007559,0.002504
0.17328,0.032172,-9.750386,-0.004937,0.009781,0.001818
0.148889,0.011672,-9.742904,-0.004657,0.008761,0.002314
0.151733,0.045191,-9.741109,-0.00372,0.008364,0.001312
0.16909,0.021099,-9.744401,-0.006268,0.007594,0.002523
0.156671,0.060903,-9.731981,-0.005005,0.007565,0.000643
0.137816,0.004788,-9.758766,-0.008343,0.009197,0.002179
0.168941,0.046986,-9.730634,-0.006119,0.008596,0.002865
0.156072,0.014066,-9.752332,-0.006099,0.007832,0.003223
0.144999,0.054917,-9.739762,-0.007533,0.008629,0.000878
0.171634,0.032172,-9.739463,-0.008308,0.010021,0.000367
0.162058,0.036811,-9.747992,-0.005116,0.006881,0.000766
0.136619,0.040402,-9.741258,-0.006051,0.009847,0.000639
0.160262,0.016759,-9.726744,-0.005206,0.007534,-0.000182
0.150236,0.041899,-9.719262,-0.004703,0.009943,0.00144
0.147992,0.023343,-9.718364,-0.005249,0.007215,-3e-05
0.161609,0.047435,-9.712378,-0.007866,0.007433,0.002781
0.151134,0.014964,-9.726444,-0.006262,0.007781,0.001165
0.135871,0.041599,-9.717316,-0.004579,0.010812,0.002113
0.161309,0.024989,-9.718813,-0.007981,0.007394,0.001082
0.148141,0.047136,-9.722703,-0.007344,0.007158,0.002588
0.147094,0.032771,-9.714473,-0.010022,0.008579,-0.000473
0.155324,0.041001,-9.733776,-0.004749,0.009579,0.000737
0.157269,0.029479,-9.734375,-0.00411,0.008886,-0.000256
0.1447,0.032322,-9.741558,-0.00712,0.008385,-0.000267
0.155922,0.026486,-9.711032,-0.003974,0.007986,0.002216
0.160412,0.035165,-9.746346,-0.004461,0.005683,0.000252
0.145897,0.034417,-9.739313,-0.005382,0.009645,0.002643
0.158466,0.039953,-9.731083,-0.004653,0.006986,0.00192
0.162506,0.034866,-9.750985,-0.007266,0.007572,0.000647
0.154725,0.030376,-9.750985,-0.005862,0.011128,-3.9e-05
0.162806,0.042946,-9.749937,-0.005938,0.00893,0.003542
0.161459,0.027833,-9.745747,-0.008838,0.009624,-0.000973
0.149488,0.027683,-9.728988,-0.00391,0.007972,-0.001595
0.159813,0.035464,-9.755025,-0.006481,0.011077,-0.00117
0.157269,0.024541,-9.742605,-0.003462,0.009471,-0.000735
0.156072,0.040552,-9.738415,-0.004906,0.008777,0.001617
0.158616,0.026187,-9.749488,-0.007682,0.008287,0.001912
0.171485,0.039055,-9.738565,-0.002436,0.010107,0.001676
0.145597,0.030825,-9.735423,-0.006784,0.007161,0.001388
0.157119,0.050278,-9.743204,-0.004181,0.009461,0.003714
