MagneticFieldx,MagneticFieldy,MagneticFieldz
3.747025,-101.388077,-168.357422
3.395706,-101.733643,-168.058136
3.561523,-101.886353,-167.580566
3.237396,-102.152893,-167.767578
3.57869,-101.920715,-167.705414
3.563965,-101.903534,-168.272049
3.711411,-102.091751,-167.829849
3.75528,-101.826721,-167.969467
3.228363,-102.04985,-167.711502
3.408081,-101.664948,-167.774933
3.240906,-101.737457,-167.726135
3.412552,-101.859848,-168.024216
3.613358,-101.904343,-167.295563
3.676132,-101.818405,-167.411285
3.862,-101.765228,-167.953598
3.335129,-102.034195,-167.890656
3.266556,-102.16394,-167.620117
3.502914,-101.983063,-167.790039
3.555038,-102.088837,-167.121933
3.444839,-101.72644,-167.471115
3.440338,-101.986877,-167.565063
3.382919,-102.011841,-167.64975
3.473923,-101.599991,-168.273254
3.530701,-102.14299,-167.983078
3.572052,-101.664291,-167.802658
3.63945,-101.70993,-168.438416
3.587524,-101.690781,-167.943588
3.368744,-101.685242,-168.268097
3.721603,-101.688126,-168.425613
3.488495,-101.882935,-167.724197
3.422821,-101.806686,-167.545776
3.293732,-101.921829,-168.121475
3.505478,-101.758133,-167.735703
3.552521,-101.930664,-167.675842
3.699005,-101.716934,-167.69545
3.778519,-102.067245,-167.666901
3.826553,-102.056808,-167.638428
3.465881,-101.708847,-167.631104
3.746445,-102.009399,-167.356583
3.381104,-101.992615,-167.548203
3.786102,-101.648743,-167.818542
3.532211,-101.570312,-167.66185
3.466583,-101.78949,-167.753571
3.816971,-101.851593,-167.758057
3.221848,-102.070221,-167.763992
3.650101,-101.640823,-167.174301
3.82988,-101.727112,-167.675934
3.538177,-101.988113,-167.938614
4.218323,-102.151627,-168.203583
3.847717,-101.92099,-167.971039
4.073685,-101.924103,-167.650803
3.725037,-101.788589,-167.659012
3.71669,-101.852921,-167.246658
3.713318,-102.042007,-167.245255
3.522583,-101.976624,-167.619736
3.514053,-101.923355,-167.540863
3.584625,-101.702393,-167.303787
3.783905,-102.036682,-168.256256
3.261734,-101.794189,-168.173004
3.545837,-102.199005,-168.091827
3.40506,-101.923935,-168.062881
3.017853,-101.935593,-168.110001
3.242218,-101.676727,-167.660324
3.928284,-102.065018,-168.415543
3.110825,-102.061554,-168.44577
3.250275,-101.929886,-168.045578
3.501205,-101.930588,-167.762207
3.147568,-102.324936,-167.764999
3.516953,-102.20224,-167.724594
3.663162,-101.964371,-167.726959
3.708481,-102.454819,-168.49678
3.424286,-102.322815,-167.260452
3.515701,-102.323578,-167.939957
3.460907,-102.273422,-168.201355
3.346298,-102.204849,-167.485962
2.906921,-102.200974,-168.016769
3.590057,-101.761078,-167.979248
3.394791,-102.33493,-167.729126
3.455307,-102.170258,-167.406174
2.972733,-102.150253,-167.824692
3.406479,-102.078751,-167.62439
3.535873,-102.010239,-167.572968
3.580994,-102.139847,-167.847641
3.589508,-101.99408,-167.9953
3.431519,-102.111176,-167.5345
3.220383,-101.896851,-168.020065
3.368439,-101.652969,-167.814484
3.554718,-101.785461,-167.820282
3.400452,-101.906113,-167.876068
3.696869,-102.033203,-168.366562
3.683655,-101.752899,-167.743118
3.687668,-101.725754,-167.562561
3.356232,-101.776062,-167.846786
3.384216,-101.686768,-167.847458
3.386154,-101.635773,-167.580673
3.138382,-101.853165,-167.851364
3.032852,-101.920853,-167.808899
3.053665,-101.83548,-167.946747
3.270859,-101.937759,-167.625
3.570496,-101.79538,-168.356064
3.408661,-101.765289,-167.714737
3.287399,-102.035004,-167.713135
3.468826,-101.798325,-167.70224
3.285568,-101.904388,-167.787109
3.600342,-101.59317,-168.49118
3.507446,-101.751083,-167.739517
3.522629,-101.820251,-167.737778
3.383209,-101.892197,-167.630783
3.509445,-102.058426,-167.602356
3.369949,-101.993073,-167.983475
3.412186,-101.880219,-167.294861
3.736328,-101.928009,-167.72879
3.932724,-102.133713,-167.418488
3.332047,-102.254852,-167.13829
3.610107,-102.025375,-167.448898
3.786667,-101.924973,-167.387283
3.371063,-101.926224,-167.369644
3.440781,-101.675919,-167.456772
3.293579,-101.663361,-167.599396
3.419037,-101.890259,-167.586212
3.374329,-101.854294,-167.594009
3.372757,-101.794495,-167.558029
3.453903,-101.907028,-167.746567
3.701874,-101.963226,-168.27684
3.382858,-101.880142,-167.765274
3.430344,-101.956955,-168.005524
3.76944,-101.983719,-167.693893
3.574341,-101.898865,-167.740677
3.630341,-101.937775,-167.191971
3.64032,-101.538696,-167.099823
3.923218,-102.038879,-167.046616
3.482742,-102.017807,-166.981735
3.542923,-102.201233,-166.895416
3.319916,-101.728363,-167.116409
3.514984,-101.550919,-167.574753
3.539047,-101.820755,-166.842804
3.77507,-101.954529,-166.903152
3.434174,-101.881271,-167.222778
3.241409,-101.739212,-167.138382
3.484894,-102.060928,-166.956451
3.376465,-101.796387,-167.361572
3.414062,-102.005219,-167.435989
3.477417,-102.445053,-167.114197
3.552032,-102.052216,-167.173615
3.253922,-101.844452,-167.197601
2.952301,-102.128052,-167.034805
3.465424,-102.334518,-167.239853
3.395996,-102.595566,-167.57814
3.64238,-102.357269,-167.514893
3.323196,-102.055923,-166.78096
3.679047,-101.851608,-167.574295
3.611633,-102.026154,-166.952423
4.065186,-102.266388,-167.559357
3.491989,-102.351273,-167.635086
3.21843,-102.119293,-167.30835
3.85701,-101.982056,-167.174606
3.573959,-102.185776,-167.486298
3.525208,-102.304779,-166.926193
3.940231,-102.520355,-167.565887
3.509583,-102.29686,-167.083282
3.688232,-102.395355,-167.151566
3.696945,-102.469864,-167.748154
3.635406,-102.356705,-166.719025
3.877457,-102.371765,-167.42865
3.667847,-102.183868,-167.559616
3.491226,-102.417068,-167.023239
3.754196,-102.201157,-166.935989
3.476273,-102.400696,-167.375244
3.589005,-102.239304,-167.135132
3.781311,-102.404282,-166.779877
3.330887,-102.596497,-167.289673
3.285507,-101.956085,-166.765289
3.431442,-102.16423,-167.255295
3.471954,-102.383774,-167.199112
3.506119,-102.697708,-167.097092
3.525269,-102.206436,-167.360458
3.137222,-102.234818,-167.818085
3.466476,-102.416702,-167.495483
3.249496,-101.963379,-167.400803
3.135422,-102.457642,-167.949234
3.39505,-102.171829,-167.299698
3.735062,-102.415985,-167.716217
3.223282,-102.280319,-167.253296
3.550003,-102.034439,-167.615463
